Medicine,Correct?,Certainty,Time,Link?
Doxycycline,Yes,100,2375,Yes
Doxycycline,Yes,100,2168,Yes
Doxycycline,Yes,100,2466,Yes
Cefuroxime,Yes,100,2578,Yes
Cefuroxime,Yes,100,2047,Yes
Cefuroxime,Yes,100,2180,Yes
Levothyroxine,N/A,N/A,10466,N/A
Levothyroxine,Yes,100,2969,Yes
Levothyroxine,Yes,100,2541,Yes
Levothyroxine,Yes,100,2334,Yes
Tramadol,Yes,100,2430,Yes
Tramadol,Yes,100,2371,Yes
Tramadol,Yes,100,2399,Yes
Tramadol,Yes,100,2564,Yes
Benzonatate,Yes,100,2134,Yes
Benzonatate,Yes,100,2256,Yes
Benzonatate,N/A,N/A,9031,N/A
Benzonatate,Yes,100,2586,Yes
Benzonatate,Yes,100,2725,Yes
Benzonatate,Yes,90.91,5173,Yes
Spironolactone,Yes,100,2237,Yes
Spironolactone,Yes,100,2179,Yes
Spironolactone,Yes,100,2131,Yes
Docusate,Yes,100,2357,Yes
Docusate,Yes,100,2113,Yes
Docusate,Yes,100,2345,Yes
Eliquis,Yes,100,2033,Yes
Eliquis,Yes,100,2348,Yes
Eliquis,Yes,100,2052,Yes
Ibuprofen,Yes,100,2680,Yes
Ibuprofen,Yes,100,2387,Yes
Ibuprofen,Yes,100,3400,Yes
Mirtazapine,Yes,100,2717,Yes
Mirtazapine,Yes,100,2678,Yes
Mirtazapine,Yes,100,2970,Yes
Mirtazapine,Yes,100,2400,Yes
Mirtazapine,Yes,100,3193,Yes
Carvedilol,Yes,100,2370,Yes
Carvedilol,Yes,100,2481,Yes
Carvedilol,Yes,100,2561,Yes
Carvedilol,N/A,N/A,7710,N/A
Carvedilol,Yes,100,2627,Yes
Carvedilol,Yes,100,2456,Yes
Furosemide,Yes,100,2074,Yes
Furosemide,Yes,100,2706,Yes
Furosemide,Yes,100,2320,Yes
Furosemide,Yes,100,2267,Yes
Furosemide,Yes,100,2816,Yes
Diltiazem,Yes,100,2398,Yes
Diltiazem,Yes,100,2660,Yes
Diltiazem,Yes,100,2454,Yes
Diltiazem,Yes,100,2385,Yes
Diltiazem,Yes,100,2394,Yes
Apixaban,Yes,100,2121,Yes
Apixaban,Yes,100,2234,Yes
Apixaban,Yes,88.89,3040,Yes
Apixaban,Yes,100,2279,Yes
Apixaban,Yes,100,2265,Yes
Apixaban,Yes,100,2183,Yes
Apixaban,Yes,100,2233,Yes
Apixaban,N/A,87.5,3030,N/A
Atorvastatin,Yes,100,2384,Yes
Atorvastatin,Yes,100,2483,Yes
Atorvastatin,Yes,100,2273,Yes
Atorvastatin,Yes,100,2464,Yes
Atorvastatin,Yes,100,2105,Yes
Furosemide,N/A,N/A,6598,N/A
Furosemide,Yes,100,2413,Yes
Furosemide,Yes,100,2308,Yes
Furosemide,Yes,100,2425,Yes
Furosemide,Yes,100,2504,Yes
Furosemide,Yes,100,2591,Yes
Furosemide,Yes,100,2275,Yes
Amlodipine,Yes,100,2067,Yes
Amlodipine,Yes,100,2372,Yes
Amlodipine,Yes,100,2079,Yes
Amlodipine,Yes,100,2167,Yes
Amlodipine,Yes,100,1978,Yes
Amlodipine,Yes,100,2119,Yes
Amlodipine,Yes,100,2023,Yes
Carvedilol,Yes,100,2347,Yes
Carvedilol,Yes,90.91,5963,Yes
Carvedilol,Yes,100,2319,Yes
Carvedilol,Yes,100,2125,Yes
Carvedilol,Yes,90.91,5791,Yes
Carvedilol,Yes,100,2260,Yes
Cefuroxime,Yes,100,2108,Yes
Cefuroxime,Yes,100,2243,Yes
Cefuroxime,Yes,100,2279,Yes
Cefuroxime,Yes,100,2300,Yes
Levothyroxine,Yes,100,2168,Yes
Levothyroxine,Yes,100,2405,Yes
Levothyroxine,Yes,100,2283,Yes
Levothyroxine,Yes,100,2172,Yes
Tramadol,Yes,100,2164,Yes
Tramadol,Yes,100,2196,Yes
Tramadol,N/A,75,8334,N/A
Tramadol,Yes,100,2400,Yes
Tramadol,Yes,100,2243,Yes
Tessalon,Yes,100,2181,Yes
Tessalon,Yes,100,2158,Yes
Tessalon,Yes,100,2320,Yes
Tessalon,Yes,100,2158,Yes
Doxycycline,Yes,100,2036,Yes
Doxycycline,Yes,100,2401,Yes
Doxycycline,Yes,100,2107,Yes
Doxycycline,Yes,100,2023,Yes
Doxycycline,Yes,100,2140,Yes
